STATECD,COUNTYCD,PLOT,INVYR,KEY,TIME_PER
55,65,20245,2000,55_65_20245,0
55,65,20247,2000,55_65_20247,0
55,65,20248,2000,55_65_20248,0
55,65,20249,2000,55_65_20249,0
55,65,20250,2000,55_65_20250,0
55,65,20251,2000,55_65_20251,0
55,65,20252,2000,55_65_20252,0
55,65,20253,2000,55_65_20253,0
55,67,20055,2000,55_67_20055,0
55,67,20200,2000,55_67_20200,0
55,67,20127,2000,55_67_20127,0
55,67,20093,2000,55_67_20093,0
55,67,20256,2000,55_67_20256,0
55,67,20064,2000,55_67_20064,0
55,67,20272,2000,55_67_20272,0
55,67,20177,2000,55_67_20177,0
55,67,20115,2000,55_67_20115,0
55,101,20035,2000,55_101_20035,0
55,101,20043,2000,55_101_20043,0
55,101,20073,2000,55_101_20073,0
55,101,20245,2000,55_101_20245,0
55,101,20260,2000,55_101_20260,0
55,101,20261,2000,55_101_20261,0
55,101,20262,2000,55_101_20262,0
55,101,20263,2000,55_101_20263,0
55,101,20264,2000,55_101_20264,0
55,101,20265,2000,55_101_20265,0
55,103,20152,2000,55_103_20152,0
55,103,20020,2000,55_103_20020,0
55,103,20070,2000,55_103_20070,0
55,103,20175,2000,55_103_20175,0
55,103,20069,2000,55_103_20069,0
55,103,20177,2000,55_103_20177,0
55,103,20003,2000,55_103_20003,0
55,103,20182,2000,55_103_20182,0
55,103,20085,2000,55_103_20085,0
55,103,20041,2000,55_103_20041,0
55,103,20105,2000,55_103_20105,0
55,103,20065,2000,55_103_20065,0
55,103,20145,2000,55_103_20145,0
55,103,20159,2000,55_103_20159,0
55,103,20221,2000,55_103_20221,0
55,103,20223,2000,55_103_20223,0
55,103,20229,2000,55_103_20229,0
55,103,20230,2000,55_103_20230,0
55,103,20231,2000,55_103_20231,0
55,103,20232,2000,55_103_20232,0
55,103,20233,2000,55_103_20233,0
55,103,20234,2000,55_103_20234,0
55,103,20235,2000,55_103_20235,0
55,103,20236,2000,55_103_20236,0
55,105,20101,2000,55_105_20101,0
55,105,20033,2000,55_105_20033,0
55,105,20114,2000,55_105_20114,0
55,105,20043,2000,55_105_20043,0
55,105,20099,2000,55_105_20099,0
55,105,20096,2000,55_105_20096,0
55,105,20082,2000,55_105_20082,0
55,105,20198,2000,55_105_20198,0
55,105,20003,2000,55_105_20003,0
55,105,20069,2000,55_105_20069,0
55,105,20118,2000,55_105_20118,0
55,105,20139,2000,55_105_20139,0
55,105,20072,2000,55_105_20072,0
55,105,20085,2000,55_105_20085,0
55,105,20227,2000,55_105_20227,0
55,105,20214,2000,55_105_20214,0
55,105,20016,2000,55_105_20016,0
55,105,20275,2000,55_105_20275,0
55,135,20302,2000,55_135_20302,0
55,139,20220,2000,55_139_20220,0
