"","STATECD","COUNTYCD","PLOT","INVYR","CONDITION","KEY","TIME_PER","subplot_list"
"255",55,107,20231,2003,"F","55_107_20231",0,"4312"
"256",55,107,20233,2004,"F","55_107_20233",0,"4123"
"257",55,107,20234,2003,"F","55_107_20234",0,"3142"
"258",55,107,20235,2004,"M","55_107_20235",0,"1432"
"259",55,107,20247,2000,"M","55_107_20247",0,"3142"
"260",55,107,20248,2004,"F","55_107_20248",0,"4213"
"261",55,107,20251,2004,"F","55_107_20251",0,"1342"
"262",55,107,20254,2002,"F","55_107_20254",0,"1432"
"263",55,107,20265,2003,"F","55_107_20265",0,"3241"
"264",55,107,20268,2002,"F","55_107_20268",0,"1234"
"265",55,107,20275,2001,"M","55_107_20275",0,"4132"
"266",55,107,20281,2000,"F","55_107_20281",0,"1423"
"267",55,107,20284,2003,"F","55_107_20284",0,"1234"
"268",55,107,20287,2001,"F","55_107_20287",0,"2314"
"269",55,107,20288,2004,"F","55_107_20288",0,"2431"
"270",55,107,20291,2001,"F","55_107_20291",0,"2314"
"271",55,107,20293,2001,"F","55_107_20293",0,"1324"
"272",55,107,20302,2000,"F","55_107_20302",0,"4213"
"273",55,107,20313,2002,"F","55_107_20313",0,"3241"
"274",55,107,20323,2003,"F","55_107_20323",0,"3241"
"275",55,107,20324,2004,"M","55_107_20324",0,"1324"
"276",55,107,20327,2000,"F","55_107_20327",0,"4231"
"277",55,107,20342,2002,"F","55_107_20342",0,"1243"
"278",55,107,20343,2002,"F","55_107_20343",0,"4312"
"279",55,107,20345,2003,"F","55_107_20345",0,"4231"
"280",55,107,20352,2003,"F","55_107_20352",0,"1234"
"281",55,107,20355,2003,"F","55_107_20355",0,"3241"
"282",55,107,20357,2001,"F","55_107_20357",0,"1342"
"283",55,107,20358,2000,"F","55_107_20358",0,"4312"
"284",55,107,20359,2001,"F","55_107_20359",0,"2143"
"285",55,107,20360,2000,"F","55_107_20360",0,"3124"
"286",55,107,20361,2002,"F","55_107_20361",0,"4321"
"287",55,107,20362,2000,"F","55_107_20362",0,"1243"
"288",55,107,20363,2004,"F","55_107_20363",0,"3241"
"289",55,107,20366,2003,"M","55_107_20366",0,"4213"
"290",55,107,20367,2003,"F","55_107_20367",0,"1432"
"291",55,107,20369,2000,"F","55_107_20369",0,"1423"
"292",55,107,20370,2000,"F","55_107_20370",0,"4231"
"293",55,107,20371,2000,"F","55_107_20371",0,"1234"
"294",55,107,20373,2000,"F","55_107_20373",0,"4213"
"295",55,107,20375,2000,"F","55_107_20375",0,"1243"
"296",55,107,20376,2000,"M","55_107_20376",0,"4231"
"297",55,107,20377,2000,"M","55_107_20377",0,"4231"
"298",55,107,20380,2000,"F","55_107_20380",0,"2413"
"299",55,107,20382,2000,"F","55_107_20382",0,"2431"
"300",55,107,20383,2000,"F","55_107_20383",0,"3124"
"301",55,107,20384,2000,"F","55_107_20384",0,"2314"
"302",55,107,20385,2001,"F","55_107_20385",0,"2341"
"303",55,107,20386,2001,"F","55_107_20386",0,"4312"
"304",55,107,20387,2001,"F","55_107_20387",0,"4231"
"305",55,107,20388,2001,"F","55_107_20388",0,"2143"
"306",55,107,20389,2001,"F","55_107_20389",0,"3421"
"307",55,107,20391,2001,"F","55_107_20391",0,"1423"
"308",55,107,20392,2001,"F","55_107_20392",0,"1243"
"309",55,107,20393,2001,"F","55_107_20393",0,"2413"
"310",55,107,20394,2001,"F","55_107_20394",0,"4132"
"311",55,107,20395,2001,"F","55_107_20395",0,"4231"
"312",55,107,20396,2001,"M","55_107_20396",0,"2314"
"313",55,107,20397,2001,"M","55_107_20397",0,"1234"
"314",55,107,20398,2001,"M","55_107_20398",0,"4132"
"315",55,107,20416,2002,"M","55_107_20416",0,"1243"
"316",55,107,20417,2002,"F","55_107_20417",0,"2431"
"317",55,107,20420,2002,"F","55_107_20420",0,"4321"
"318",55,107,20421,2002,"F","55_107_20421",0,"3124"
"319",55,107,20422,2002,"F","55_107_20422",0,"2341"
"320",55,107,20424,2002,"M","55_107_20424",0,"2314"
"321",55,107,20425,2002,"F","55_107_20425",0,"2134"
"322",55,107,20428,2003,"F","55_107_20428",0,"2143"
"323",55,107,20429,2003,"F","55_107_20429",0,"4231"
"324",55,107,20430,2003,"F","55_107_20430",0,"3142"
"325",55,107,20432,2003,"M","55_107_20432",0,"4123"
"326",55,107,20433,2003,"F","55_107_20433",0,"1342"
"327",55,107,20434,2003,"F","55_107_20434",0,"1342"
"328",55,107,20435,2003,"F","55_107_20435",0,"4132"
"329",55,107,20436,2003,"F","55_107_20436",0,"2413"
"330",55,107,20437,2003,"F","55_107_20437",0,"1342"
"331",55,107,20439,2003,"F","55_107_20439",0,"4123"
"332",55,107,20440,2003,"F","55_107_20440",0,"4213"
"333",55,107,20441,2003,"F","55_107_20441",0,"3241"
"334",55,107,20442,2003,"F","55_107_20442",0,"3421"
"335",55,107,20443,2003,"F","55_107_20443",0,"4213"
"336",55,107,20444,2003,"F","55_107_20444",0,"3142"
"337",55,107,20445,2003,"F","55_107_20445",0,"2134"
"338",55,107,20446,2003,"M","55_107_20446",0,"1432"
"339",55,107,20448,2003,"F","55_107_20448",0,"4213"
"340",55,107,20449,2003,"F","55_107_20449",0,"2341"
"341",55,107,20450,2003,"F","55_107_20450",0,"4123"
"342",55,107,20452,2003,"F","55_107_20452",0,"2413"
"343",55,107,20456,2003,"M","55_107_20456",0,"1342"
"344",55,107,20457,2004,"F","55_107_20457",0,"3124"
"345",55,107,20458,2004,"F","55_107_20458",0,"1432"
"346",55,107,20459,2004,"F","55_107_20459",0,"4231"
"347",55,107,20461,2004,"F","55_107_20461",0,"1243"
"348",55,107,20462,2004,"F","55_107_20462",0,"3421"
"349",55,107,20463,2004,"M","55_107_20463",0,"1423"
"350",55,107,20465,2004,"F","55_107_20465",0,"1324"
"351",55,107,20466,2004,"F","55_107_20466",0,"2341"
"352",55,107,20467,2004,"F","55_107_20467",0,"4213"
"353",55,107,20468,2004,"F","55_107_20468",0,"4321"
"354",55,107,20469,2004,"F","55_107_20469",0,"1234"
"355",55,109,20009,2003,"M","55_109_20009",0,"2143"
"356",55,109,20037,2002,"F","55_109_20037",0,"1423"
"357",55,109,20044,2004,"M","55_109_20044",0,"3124"
"358",55,109,20065,2001,"M","55_109_20065",0,"1243"
"359",55,109,20071,2002,"M","55_109_20071",0,"4312"
"360",55,109,20081,2002,"M","55_109_20081",0,"1342"
"361",55,109,20088,2001,"M","55_109_20088",0,"3142"
"362",55,109,20092,2004,"M","55_109_20092",0,"2431"
"363",55,109,20096,2003,"F","55_109_20096",0,"3412"
"364",55,109,20107,2001,"F","55_109_20107",0,"4231"
"365",55,109,20111,2002,"M","55_109_20111",0,"4321"
"366",55,109,20117,2003,"M","55_109_20117",0,"1243"
"367",55,109,20120,2003,"F","55_109_20120",0,"1423"
