MAPVALUE,PLT_KEY
319,55_11_20102_2003_1
320,55_11_20105_2000_3
321,55_11_20106_2000_4
322,55_11_20120_2000_4
323,55_11_20131_2004_2
324,55_11_20134_2004_2
325,55_11_20140_2002_4
326,55_11_20149_2003_4
327,55_11_20155_2004_3
328,55_11_20160_2001_1
329,55_11_20163_2001_2
330,55_11_20165_2003_3
331,55_11_20167_2002_3
332,55_11_20168_2000_4
333,55_11_20170_2004_4
334,55_11_20173_2001_2
335,55_11_20190_2002_2
336,55_11_20193_2003_1
337,55_11_20223_2004_2
338,55_11_20239_2000_1
339,55_11_20249_2004_3
340,55_11_20250_2002_3
341,55_11_20257_2003_2
342,55_11_20267_2004_3
343,55_11_20268_2001_3
344,55_11_20271_2000_4
345,55_11_20273_2000_4
346,55_11_20281_2000_1
347,55_11_20282_2000_2
348,55_11_20283_2000_4
349,55_11_20285_2001_1
350,55_11_20287_2001_3
351,55_11_20289_2001_3
352,55_11_20291_2001_4
353,55_11_20293_2001_3
354,55_11_20305_2002_1
355,55_11_20307_2002_1
356,55_11_20310_2002_4
357,55_11_20320_2003_1
358,55_11_20321_2003_1
359,55_11_20337_2004_2
360,55_11_20339_2004_3
361,55_11_20340_2004_4
362,55_11_20343_2004_3
363,55_111_20010_2004_3
364,55_111_20022_2003_4
365,55_111_20024_2004_3
366,55_111_20036_2004_1
367,55_111_20037_2002_2
368,55_111_20062_2003_3
369,55_111_20067_2001_1
370,55_111_20072_2003_1
371,55_111_20086_2003_2
372,55_111_20091_2004_2
373,55_111_20095_2000_4
374,55_111_20098_2000_3
375,55_111_20115_2001_2
376,55_111_20117_2004_1
377,55_111_20126_2000_3
378,55_111_20133_2000_1
379,55_111_20150_2000_3
380,55_111_20151_2000_4
381,55_111_20173_2001_2
382,55_111_20180_2001_1
383,55_111_20191_2002_1
384,55_111_20202_2002_2
385,55_111_20217_2002_3
386,55_111_20218_2002_4
387,55_111_20222_2003_2
388,55_111_20247_2003_3
389,55_111_20278_2001_2
390,55_111_20285_2001_4
391,55_111_20287_2000_1
392,55_111_20289_2001_3
393,55_111_20291_2004_2
394,55_111_20307_2001_2
395,55_111_20308_2002_1
396,55_111_20323_2003_1
397,55_111_20324_2001_3
398,55_111_20330_2001_1
399,55_111_20332_2000_1
400,55_111_20336_2000_4
401,55_111_20339_2000_1
402,55_111_20346_2000_4
403,55_111_20354_2001_1
404,55_111_20376_2001_4
405,55_111_20378_2002_4
406,55_111_20381_2002_2
407,55_111_20383_2002_3
408,55_111_20388_2002_2
409,55_111_20391_2002_3
410,55_111_20393_2003_1
411,55_111_20395_2003_1
412,55_111_20401_2003_2
413,55_111_20403_2003_3
414,55_111_20418_2004_1
415,55_111_20420_2004_3
416,55_111_20421_2004_1
417,55_111_20422_2004_2
418,55_111_20427_2004_1
419,55_111_20428_2004_2
420,55_113_20001_2001_4
421,55_113_20003_2001_4
422,55_113_20008_2004_2
423,55_113_20013_2001_4
424,55_113_20014_2004_1
425,55_113_20017_2002_3
426,55_113_20020_2000_3
427,55_113_20026_2000_4
428,55_113_20027_2004_2
429,55_113_20028_2000_4
430,55_113_20031_2000_1
431,55_113_20059_2000_1
432,55_113_20060_2003_2
433,55_113_20063_2003_1
434,55_113_20073_2000_2
435,55_113_20082_2000_3
436,55_113_20095_2004_3
437,55_113_20096_2003_4
438,55_113_20098_2004_2
439,55_113_20100_2001_3
440,55_113_20103_2001_2
441,55_113_20111_2000_2
442,55_113_20112_2002_4
443,55_113_20113_2001_2
444,55_113_20121_2002_4
445,55_113_20123_2002_1
446,55_113_20131_2000_2
447,55_113_20137_2001_3
448,55_113_20139_2002_3
449,55_113_20140_2002_4
450,55_113_20144_2002_2
451,55_113_20145_2002_3
452,55_113_20147_2002_3
453,55_113_20149_2002_4
454,55_113_20152_2004_3
455,55_113_20158_2001_2
456,55_113_20169_2002_3
457,55_113_20190_2003_2
458,55_113_20192_2002_1
459,55_113_20194_2004_1
460,55_113_20200_2004_2
461,55_113_20205_2004_1
462,55_113_20206_2000_4
463,55_113_20210_2001_2
464,55_113_20211_2002_2
465,55_113_20215_2001_3
466,55_113_20218_2004_3
467,55_113_20219_2004_4
468,55_113_20223_2003_1
469,55_113_20227_2001_1
470,55_113_20230_2003_2
471,55_113_20231_2003_4
472,55_113_20241_2003_4
473,55_113_20251_2001_1
474,55_113_20253_2000_4
475,55_113_20261_2000_2
476,55_113_20264_2000_4
477,55_113_20271_2001_2
478,55_113_20272_2001_1
479,55_113_20273_2000_2
480,55_113_20274_2002_4
481,55_113_20280_2000_1
482,55_113_20282_2004_2
483,55_113_20287_2000_3
484,55_113_20290_2000_4
485,55_113_20294_2002_1
486,55_113_20298_2003_1
487,55_113_20304_2000_1
488,55_113_20312_2001_2
489,55_113_20315_2002_3
490,55_113_20316_2003_3
491,55_113_20317_2001_3
492,55_113_20322_2000_4
493,55_113_20323_2003_4
494,55_113_20325_2003_3
495,55_113_20327_2002_4
496,55_113_20331_2004_4
497,55_113_20332_2002_2
498,55_113_20337_2002_4
499,55_113_20341_2003_4
500,55_113_20353_2002_2
501,55_113_20358_2000_2
502,55_113_20363_2003_2
503,55_113_20368_2000_3
504,55_113_20383_2004_3
505,55_113_20385_2004_2
506,55_113_20392_2002_3
507,55_113_20393_2002_1
508,55_113_20396_2002_2
509,55_113_20403_2002_1
510,55_113_20409_2001_4
511,55_113_20414_2002_2
512,55_113_20417_2002_4
513,55_113_20419_2004_1
514,55_113_20422_2001_4
515,55_113_20426_2004_1
516,55_113_20429_2003_1
517,55_113_20431_2003_3
518,55_113_20434_2004_1
519,55_113_20436_2001_3
520,55_113_20441_2004_1
521,55_113_20451_2002_4
522,55_113_20456_2004_1
523,55_113_20464_2004_1
524,55_113_20466_2004_2
525,55_113_20469_2000_1
526,55_113_20470_2001_2
527,55_113_20474_2001_1
528,55_113_20479_2001_3
529,55_113_20482_2001_2
530,55_113_20489_2003_4
531,55_113_20493_2003_3
532,55_113_20494_2000_2
533,55_113_20495_2002_1
534,55_113_20497_2000_1
535,55_113_20498_2000_1
536,55_113_20499_2001_1
537,55_113_20501_2003_2
538,55_113_20503_2001_4
539,55_113_20504_2002_2
540,55_113_20505_2001_3
541,55_113_20506_2001_4
542,55_113_20507_2001_4
543,55_113_20508_2001_2
544,55_113_20509_2004_3
545,55_113_20511_2005_2
546,55_113_20512_2000_4
547,55_113_20519_2000_3
548,55_113_20521_2000_3
549,55_113_20526_2000_2
550,55_113_20529_2000_2
551,55_113_20531_2001_4
552,55_113_20532_2001_2
553,55_113_20533_2001_1
554,55_113_20534_2001_3
555,55_113_20535_2001_1
556,55_113_20536_2001_4
557,55_113_20537_2001_4
558,55_113_20540_2001_3
559,55_113_20541_2001_3
560,55_113_20542_2001_2
561,55_113_20543_2001_2
562,55_113_20544_2001_4
563,55_113_20546_2001_3
564,55_113_20548_2001_4
565,55_113_20550_2001_2
566,55_113_20551_2001_1
567,55_113_20574_2002_4
568,55_113_20577_2002_1
569,55_113_20578_2002_3
570,55_113_20579_2002_1
571,55_113_20581_2002_2
572,55_113_20584_2002_4
573,55_113_20586_2002_4
574,55_113_20587_2002_1
575,55_113_20588_2002_1
576,55_113_20590_2002_3
577,55_113_20591_2003_4
578,55_113_20592_2003_1
579,55_113_20593_2003_4
580,55_113_20595_2003_2
581,55_113_20597_2003_3
582,55_113_20598_2003_3
583,55_113_20599_2003_2
584,55_113_20601_2003_1
585,55_113_20602_2003_2
586,55_113_20603_2003_3
587,55_113_20604_2003_2
588,55_113_20605_2003_4
589,55_113_20606_2003_1
590,55_113_20607_2003_3
591,55_113_20609_2003_3
592,55_113_20610_2003_4
593,55_113_20612_2003_4
594,55_113_20613_2003_2
595,55_113_20615_2003_2
596,55_113_20616_2003_4
597,55_113_20638_2004_2
598,55_113_20642_2004_3
599,55_113_20643_2004_1
600,55_113_20644_2004_2
601,55_113_20645_2004_2
602,55_113_20649_2004_3
603,55_113_20650_2004_1
604,55_113_20651_2004_2
605,55_113_20652_2004_2
606,55_113_20654_2004_4
607,55_113_20656_2004_2
608,55_113_29006_2004_1
609,55_113_29009_2004_1
610,55_113_29011_2004_4
611,55_113_29013_2002_2
612,55_113_29025_2003_3
613,55_115_20007_2004_4
614,55_115_20012_2004_2
615,55_115_20018_2004_3
616,55_115_20027_2001_3
617,55_115_20033_2003_4
618,55_115_20034_2000_3
619,55_115_20037_2004_4
620,55_115_20038_2003_3
621,55_115_20045_2002_1
622,55_115_20046_2003_2
623,55_115_20077_2003_3
624,55_115_20089_2000_4
625,55_115_20096_2004_4
626,55_115_20101_2002_2
627,55_115_20105_2003_3
628,55_115_20145_2003_1
629,55_115_20156_2001_3
630,55_115_20157_2004_2
631,55_115_20167_2001_3
632,55_115_20173_2003_2
633,55_115_20176_2002_2
634,55_115_20183_2004_2
635,55_115_20186_2003_4
636,55_115_20191_2000_1
637,55_115_20219_2003_3
638,55_115_20220_2001_3
639,55_115_20225_2002_2
640,55_115_20235_2002_3
641,55_115_20236_2000_4
642,55_115_20266_2004_3
643,55_115_20269_2001_1
644,55_115_20292_2003_4
645,55_115_20293_2000_1
646,55_115_20299_2002_3
647,55_115_20303_2002_3
648,55_115_20314_2002_4
649,55_115_20316_2000_4
650,55_115_20324_2002_3
651,55_115_20332_2002_4
652,55_115_20339_2000_1
653,55_115_20342_2003_1
654,55_115_20343_2003_1
655,55_115_20344_2002_4
656,55_115_20351_2000_4
657,55_115_20352_2000_4
658,55_115_20353_2000_2
659,55_115_20354_2000_1
660,55_115_20355_2000_2
661,55_115_20357_2000_2
662,55_115_20358_2000_1
663,55_115_20360_2001_4
664,55_115_20365_2001_1
665,55_115_20367_2001_3
666,55_115_20368_2001_2
667,55_115_20392_2002_1
668,55_115_20395_2002_2
669,55_115_20399_2002_1
670,55_115_20401_2002_3
671,55_115_20404_2002_3
672,55_115_20407_2003_4
673,55_115_20410_2003_2
674,55_115_20413_2003_4
675,55_115_20414_2003_3
676,55_115_20420_2003_4
677,55_115_20438_2004_2
678,55_115_20439_2004_4
679,55_115_20442_2004_3
680,55_115_20445_2004_4
681,55_115_20446_2004_2
682,55_115_20448_2004_4
683,55_115_20450_2004_4
684,55_115_20451_2004_1
685,55_117_20020_2003_3
686,55_117_20025_2002_2
687,55_117_20026_2003_3
688,55_117_20035_2003_4
689,55_117_20038_2000_3
690,55_117_20039_2004_3
691,55_117_20041_2001_2
692,55_117_20047_2004_2
693,55_117_20058_2001_4
694,55_117_20072_2002_2
695,55_117_20141_2002_1
696,55_117_20152_2001_1
697,55_117_20186_2000_2
698,55_117_20277_2003_2
699,55_117_20301_2000_4
700,55_117_20307_2001_1
701,55_117_20330_2003_2
702,55_117_20334_2003_1
703,55_117_20348_2004_2
704,55_117_20351_2004_3
705,55_119_20007_2003_3
706,55_119_20013_2001_3
707,55_119_20014_2002_3
708,55_119_20019_2000_4
709,55_119_20022_2001_1
710,55_119_20025_2004_2
711,55_119_20034_2000_1
712,55_119_20038_2004_4
713,55_119_20039_2002_3
714,55_119_20040_2003_2
715,55_119_20042_2000_2
716,55_119_20045_2002_2
717,55_119_20053_2000_2
718,55_119_20054_2003_3
719,55_119_20057_2004_3
720,55_119_20066_2000_3
721,55_119_20070_2003_2
722,55_119_20075_2000_2
723,55_119_20087_2001_4
724,55_119_20089_2003_3
725,55_119_20092_2000_1
726,55_119_20096_2004_2
727,55_119_20106_2001_4
728,55_119_20114_2001_4
729,55_119_20128_2004_1
730,55_119_20139_2003_3
731,55_119_20146_2001_4
732,55_119_20148_2000_1
733,55_119_20157_2003_4
734,55_119_20159_2000_4
735,55_119_20164_2002_3
736,55_119_20169_2002_1
